filepath,filetype,sample_rate,duration_sec,instrument_label
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N4_P1_S7.mp3,.mp3,44100,1.1493877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N5_P1_S1.mp3,.mp3,44100,1.123265306122449,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N5_P1_S2.mp3,.mp3,44100,1.1493877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N5_P1_S3.mp3,.mp3,44100,1.0187755102040816,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N5_P1_S4.mp3,.mp3,44100,0.9404081632653061,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N5_P1_S5.mp3,.mp3,44100,0.966530612244898,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N6_P1_S1.mp3,.mp3,44100,1.1493877551020408,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_N6_P1_S2.mp3,.mp3,44100,1.0710204081632653,Tumpong
input\full\Tumpong_audios\Tumpong_audios\ILGN_SBN_Tumpong_PIECE1.mp3,.mp3,44100,69.30285714285715,Tumpong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_001_P1_N0-B2_S1.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_001_P1_N0-B2_S2.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_001_P1_N0-B2_S3.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_001_P1_N0-B2_S4.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_001_P2_N0-B2_S1.mp3,.mp3,44100,0.4179591836734694,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_001_P2_N0-B2_S2.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_001_P2_N0-B2_S3.mp3,.mp3,44100,0.4440816326530612,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_001_P2_N0-B2_S4.mp3,.mp3,44100,0.5224489795918368,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_002_P1_N0-C#3_S1.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_002_P1_N0-C#3_S2.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_002_P1_N0-C#3_S3.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_002_P1_N0-C#3_S4.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_002_P2_N0-C#3_S1.mp3,.mp3,44100,0.5224489795918368,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_002_P2_N0-C#3_S2.mp3,.mp3,44100,0.4440816326530612,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_002_P2_N0-C#3_S3.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_002_P2_N0-C#3_S4.mp3,.mp3,44100,0.4963265306122449,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_003_P1_N0-C#3_S1.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_003_P1_N0-C#3_S2.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_003_P1_N0-C#3_S3.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_003_P1_N0-C#3_S4.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_003_P2_N0-C#3_S1.mp3,.mp3,44100,0.2873469387755102,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_003_P2_N0-C#3_S2.mp3,.mp3,44100,0.2873469387755102,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_003_P2_N0-C#3_S3.mp3,.mp3,44100,0.2873469387755102,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_003_P2_N0-C#3_S4.mp3,.mp3,44100,0.3395918367346939,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_004_P1_N0 -D3_S1.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_004_P1_N0-D3_S2.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_004_P1_N0-D3_S3.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_004_P1_N0-D3_S4.mp3,.mp3,44100,0.6008163265306122,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_004_P2_N0-D3_S1.mp3,.mp3,44100,0.39183673469387753,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_004_P2_N0-D3_S2.mp3,.mp3,44100,0.4963265306122449,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_004_P2_N0-D3_S3.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_004_P2_N0-D3_S4.mp3,.mp3,44100,0.4179591836734694,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_005_P1_N0-D3_S1.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_005_P1_N0-D3_S2.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_005_P1_N0-D3_S3.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_005_P1_N0-D3_S4.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_005_P2_N0 -D3_S2.mp3,.mp3,44100,0.4963265306122449,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_005_P2_N0-D3_S1.mp3,.mp3,44100,0.4440816326530612,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_005_P2_N0-D3_S3.mp3,.mp3,44100,0.4440816326530612,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_005_P2_N0-D3_S4.mp3,.mp3,44100,0.4963265306122449,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_006_P1_N0-E3_S1.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_006_P1_N0-E3_S2.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_006_P1_N0-E3_S3.mp3,.mp3,44100,0.6791836734693878,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_006_P1_N0-E3_S4.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_006_P2_N0 -E3_S2.mp3,.mp3,44100,0.5224489795918368,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_006_P2_N0-E3_S1.mp3,.mp3,44100,0.4440816326530612,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_006_P2_N0-E3_S3.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_006_P2_N0-E3_S4.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_007_P1_N0-F#3_S1.mp3,.mp3,44100,0.6791836734693878,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_007_P1_N0-F#3_S2.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_007_P1_N0-F#3_S3.mp3,.mp3,44100,0.6791836734693878,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_007_P1_N0-F#3_S4.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_007_P2_N0-F#3_S1.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_007_P2_N0-F#3_S2.mp3,.mp3,44100,0.5224489795918368,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_007_P2_N0-F#3_S3.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_007_P2_N0-F#3_S4.mp3,.mp3,44100,0.5224489795918368,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_009_P1_N0-F3_S1.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_009_P1_N0-F3_S2.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_009_P1_N0-F3_S3.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_009_P1_N0-F3_S4.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_009_P2_N0-F3_S1.mp3,.mp3,44100,0.4963265306122449,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_009_P2_N0-F3_S2.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_009_P2_N0-F3_S3.mp3,.mp3,44100,0.4963265306122449,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_009_P2_N0-F3_S4.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_010_P1_N0-G#3_S1.mp3,.mp3,44100,0.626938775510204,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_010_P1_N0-G#3_S2.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_010_P1_N0-G#3_S3.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_010_P1_N0-G#3_S4.mp3,.mp3,44100,0.6530612244897959,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_010_P2_N0-G#3_S1.mp3,.mp3,44100,0.47020408163265304,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_010_P2_N0-G#3_S2.mp3,.mp3,44100,0.4963265306122449,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_010_P2_N0-G#3_S3.mp3,.mp3,44100,0.4963265306122449,Tongatong
input\full\Tongatong_audios\Tongatong_audios\Klng_Tongatong_010_P2_N0-G#3_S4.mp3,.mp3,44100,0.4440816326530612,Tongatong
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_ENSEMBLE01.mp3,.mp3,44100,73.22122448979592,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_ENSEMBLE02.mp3,.mp3,44100,87.58857142857143,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N1_P1_S1.mp3,.mp3,44100,0.6530612244897959,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N1_P1_S2.mp3,.mp3,44100,0.7836734693877551,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N1_P1_S3.mp3,.mp3,44100,0.7836734693877551,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N1_P2_S1.mp3,.mp3,44100,1.3061224489795917,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N1_P2_S2.mp3,.mp3,44100,1.4628571428571429,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N2_P1_S1.mp3,.mp3,44100,0.7314285714285714,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N2_P1_S2.mp3,.mp3,44100,0.7836734693877551,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N2_P1_S3.mp3,.mp3,44100,0.7053061224489796,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N2_P2_S1.mp3,.mp3,44100,1.4106122448979592,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N2_P2_S2.mp3,.mp3,44100,1.3061224489795917,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N2_P2_S3.mp3,.mp3,44100,1.4628571428571429,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N3_P1_S1.mp3,.mp3,44100,0.7836734693877551,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N3_P1_S2.mp3,.mp3,44100,0.7575510204081632,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N3_P1_S3.mp3,.mp3,44100,0.7836734693877551,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N3_P2_S1.mp3,.mp3,44100,1.253877551020408,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N3_P2_S2.mp3,.mp3,44100,1.253877551020408,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N3_P2_S3.mp3,.mp3,44100,1.28,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N4_P1_S1.mp3,.mp3,44100,0.7314285714285714,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N4_P1_S2.mp3,.mp3,44100,0.8620408163265306,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N4_P1_S3.mp3,.mp3,44100,0.809795918367347,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N4_P2_S1.mp3,.mp3,44100,1.253877551020408,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N4_P2_S2.mp3,.mp3,44100,1.28,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N4_P2_S3.mp3,.mp3,44100,1.2016326530612245,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N5_P1_S1.mp3,.mp3,44100,0.7314285714285714,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N5_P1_S2.mp3,.mp3,44100,0.8881632653061224,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N5_P1_S3.mp3,.mp3,44100,0.9142857142857143,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N5_P2_S1.mp3,.mp3,44100,1.123265306122449,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N5_P2_S2.mp3,.mp3,44100,1.1493877551020408,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N5_P2_S3.mp3,.mp3,44100,1.1755102040816328,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N6_P1_S1.mp3,.mp3,44100,0.6530612244897959,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N6_P1_S2.mp3,.mp3,44100,0.8359183673469388,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N6_P1_S3.mp3,.mp3,44100,0.7314285714285714,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N6_P2_S1.mp3,.mp3,44100,1.253877551020408,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N6_P2_S2.mp3,.mp3,44100,1.3583673469387756,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N6_P2_S3.mp3,.mp3,44100,1.3322448979591837,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N7_P1_S1.mp3,.mp3,44100,0.7836734693877551,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N7_P1_S2.mp3,.mp3,44100,0.6791836734693878,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N7_P1_S3.mp3,.mp3,44100,0.7836734693877551,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N7_P2_S1.mp3,.mp3,44100,1.3061224489795917,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N7_P2_S2.mp3,.mp3,44100,1.2277551020408164,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N7_P2_S3.mp3,.mp3,44100,1.3844897959183673,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N8_P1_S1.mp3,.mp3,44100,0.7575510204081632,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N8_P1_S2.mp3,.mp3,44100,0.8359183673469388,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N8_P1_S3.mp3,.mp3,44100,0.7575510204081632,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N8_P2_S1.mp3,.mp3,44100,1.123265306122449,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N8_P2_S2.mp3,.mp3,44100,0.966530612244898,Tongatong (Sadanga Fieldwork)
input\full\Tongatong (Sadanga Fieldwork)_audios\Tongatong (Sadanga Fieldwork)_audios\SDNG_SNDG_Tongatong_N8_P2_S3.mp3,.mp3,44100,1.0710204081632653,Tongatong (Sadanga Fieldwork)
